step=0 Jev -> move_forward | red_mean=38.3 | enemy_visible=no
step=8 Jev -> move_forward | red_mean=39.8 | enemy_visible=no
step=16 Jev -> move_forward | red_mean=38.4 | enemy_visible=no
step=24 Jev -> move_forward | red_mean=48.2 | enemy_visible=no
step=32 Jev -> move_forward | red_mean=27.1 | enemy_visible=no
step=40 Jev -> move_forward | red_mean=35.8 | enemy_visible=no
step=48 Jev -> move_forward | red_mean=36.4 | enemy_visible=no
step=56 Jev -> move_forward | red_mean=41.2 | enemy_visible=no
step=64 Jev -> move_forward | red_mean=43.5 | enemy_visible=no
step=72 Jev -> move_forward | red_mean=43.6 | enemy_visible=no
step=80 Jev -> move_forward | red_mean=39.5 | enemy_visible=no
step=88 Jev -> move_forward | red_mean=56.4 | enemy_visible=no
step=96 Jev -> move_forward | red_mean=70.6 | enemy_visible=no
step=104 Jev -> move_forward | red_mean=71.3 | enemy_visible=no
step=112 Jev -> move_forward | red_mean=104.7 | enemy_visible=no
step=120 Jev -> move_right | red_mean=63.4 | enemy_visible=yes
step=128 Jev -> move_right | red_mean=45.2 | enemy_visible=yes
step=136 Jev -> move_right | red_mean=45.0 | enemy_visible=yes
step=144 Jev -> move_right | red_mean=47.4 | enemy_visible=yes
step=152 Jev -> move_right | red_mean=47.3 | enemy_visible=yes
step=160 Jev -> move_left | red_mean=47.1 | enemy_visible=yes
step=168 Jev -> move_left | red_mean=45.5 | enemy_visible=yes
step=176 Jev -> move_left | red_mean=49.8 | enemy_visible=yes
step=184 Jev -> move_right | red_mean=49.8 | enemy_visible=yes
step=192 Jev -> strafe_attack_left | red_mean=49.9 | enemy_visible=yes
step=200 Jev -> strafe_attack_left | red_mean=57.7 | enemy_visible=yes
step=208 Jev -> move_right | red_mean=49.6 | enemy_visible=yes
step=216 Jev -> move_right | red_mean=57.3 | enemy_visible=yes
step=224 Jev -> move_left | red_mean=46.7 | enemy_visible=yes
step=232 Jev -> strafe_attack_left | red_mean=47.2 | enemy_visible=yes
step=240 Jev -> move_right | red_mean=56.6 | enemy_visible=yes
step=248 Jev -> move_left | red_mean=48.7 | enemy_visible=yes
step=256 Jev -> move_left | red_mean=49.8 | enemy_visible=yes
step=264 Jev -> move_right | red_mean=49.8 | enemy_visible=yes
step=272 Jev -> move_right | red_mean=49.9 | enemy_visible=yes
step=280 Jev -> move_right | red_mean=47.7 | enemy_visible=yes
step=288 Jev -> strafe_attack_left | red_mean=47.1 | enemy_visible=yes
step=296 Jev -> move_left | red_mean=55.3 | enemy_visible=yes
step=304 Jev -> move_left | red_mean=47.9 | enemy_visible=yes
step=312 Jev -> move_right | red_mean=49.3 | enemy_visible=yes
step=320 Jev -> move_forward | red_mean=49.4 | enemy_visible=no
step=328 Jev -> strafe_attack_left | red_mean=52.1 | enemy_visible=yes
step=336 Jev -> strafe_attack_left | red_mean=63.4 | enemy_visible=yes
step=344 Jev -> strafe_attack_left | red_mean=56.5 | enemy_visible=yes
step=352 Jev -> strafe_attack_left | red_mean=64.2 | enemy_visible=yes
step=360 Jev -> strafe_attack_left | red_mean=57.1 | enemy_visible=yes
step=368 Jev -> strafe_attack_left | red_mean=64.2 | enemy_visible=yes
step=376 Jev -> strafe_attack_left | red_mean=62.9 | enemy_visible=yes
step=384 Jev -> strafe_attack_right | red_mean=59.0 | enemy_visible=yes
step=392 Jev -> strafe_attack_right | red_mean=66.1 | enemy_visible=yes
step=400 Jev -> strafe_attack_right | red_mean=59.8 | enemy_visible=yes
step=408 Jev -> move_right | red_mean=62.7 | enemy_visible=yes
step=416 Jev -> move_right | red_mean=55.8 | enemy_visible=yes
step=424 Jev -> move_right | red_mean=50.7 | enemy_visible=yes
step=432 Jev -> move_right | red_mean=50.5 | enemy_visible=yes
step=440 Jev -> move_right | red_mean=50.6 | enemy_visible=yes
step=448 Jev -> move_right | red_mean=50.6 | enemy_visible=yes
step=456 Jev -> strafe_attack_right | red_mean=50.5 | enemy_visible=yes
step=464 Jev -> strafe_attack_right | red_mean=55.5 | enemy_visible=yes
step=472 Jev -> strafe_attack_right | red_mean=50.5 | enemy_visible=yes
step=480 Jev -> strafe_attack_right | red_mean=55.4 | enemy_visible=yes
step=488 Jev -> strafe_attack_right | red_mean=50.6 | enemy_visible=yes
step=496 Jev -> strafe_attack_right | red_mean=50.5 | enemy_visible=yes
step=504 Jev -> strafe_attack_right | red_mean=55.5 | enemy_visible=yes
step=512 Jev -> strafe_attack_right | red_mean=50.5 | enemy_visible=yes
step=520 Jev -> strafe_attack_left | red_mean=55.4 | enemy_visible=yes
step=528 Jev -> strafe_attack_left | red_mean=54.4 | enemy_visible=yes
step=536 Jev -> strafe_attack_left | red_mean=67.8 | enemy_visible=yes
step=552 Jev -> move_right | red_mean=59.7 | enemy_visible=yes
step=560 Jev -> move_right | red_mean=58.8 | enemy_visible=yes
step=568 Jev -> strafe_attack_left | red_mean=59.2 | enemy_visible=yes
step=576 Jev -> strafe_attack_left | red_mean=67.0 | enemy_visible=yes
step=584 Jev -> strafe_attack_left | red_mean=57.1 | enemy_visible=yes
step=592 Jev -> move_right | red_mean=64.3 | enemy_visible=yes
step=600 Jev -> move_right | red_mean=55.2 | enemy_visible=yes
step=608 Jev -> move_right | red_mean=56.2 | enemy_visible=yes
step=616 Jev -> strafe_attack_left | red_mean=58.8 | enemy_visible=yes
step=624 Jev -> strafe_attack_left | red_mean=65.9 | enemy_visible=yes
step=632 Jev -> strafe_attack_left | red_mean=57.4 | enemy_visible=yes
step=640 Jev -> strafe_attack_left | red_mean=62.5 | enemy_visible=yes
step=648 Jev -> move_right | red_mean=54.5 | enemy_visible=yes
step=656 Jev -> move_right | red_mean=56.7 | enemy_visible=yes
step=664 Jev -> strafe_attack_left | red_mean=54.5 | enemy_visible=yes
step=672 Jev -> strafe_attack_left | red_mean=63.0 | enemy_visible=yes
step=680 Jev -> move_right | red_mean=56.8 | enemy_visible=yes
step=688 Jev -> move_right | red_mean=65.2 | enemy_visible=yes
step=696 Jev -> strafe_attack_left | red_mean=56.0 | enemy_visible=yes
step=704 Jev -> move_forward | red_mean=63.2 | enemy_visible=no
step=712 Jev -> strafe_attack_left | red_mean=60.6 | enemy_visible=yes
step=720 Jev -> move_right | red_mean=61.8 | enemy_visible=yes
step=728 Jev -> strafe_attack_left | red_mean=59.1 | enemy_visible=yes
step=736 Jev -> move_right | red_mean=67.8 | enemy_visible=yes
step=744 Jev -> move_right | red_mean=63.7 | enemy_visible=yes
step=752 Jev -> strafe_attack_left | red_mean=57.6 | enemy_visible=yes
step=760 Jev -> strafe_attack_left | red_mean=65.4 | enemy_visible=yes
step=768 Jev -> strafe_attack_left | red_mean=60.2 | enemy_visible=yes
step=776 Jev -> move_forward | red_mean=72.3 | enemy_visible=no
step=784 Jev -> move_forward | red_mean=71.4 | enemy_visible=no
step=792 Jev -> move_forward | red_mean=71.9 | enemy_visible=no
step=800 Jev -> move_forward | red_mean=71.7 | enemy_visible=no
step=808 Jev -> move_forward | red_mean=72.1 | enemy_visible=no
step=816 Jev -> use | red_mean=71.8 | enemy_visible=no
step=824 Jev -> move_forward | red_mean=71.7 | enemy_visible=no
step=832 Jev -> move_forward | red_mean=71.7 | enemy_visible=no
step=840 Jev -> move_forward | red_mean=71.7 | enemy_visible=no
step=848 Jev -> move_forward | red_mean=71.7 | enemy_visible=no
step=856 Jev -> use | red_mean=71.7 | enemy_visible=no
step=864 Jev -> move_forward | red_mean=71.7 | enemy_visible=no
step=872 Jev -> move_forward | red_mean=71.7 | enemy_visible=no
step=880 Jev -> turn_left | red_mean=71.7 | enemy_visible=no
step=888 Jev -> turn_left | red_mean=71.7 | enemy_visible=no
step=896 Jev -> turn_left | red_mean=71.7 | enemy_visible=no
step=904 Jev -> turn_left | red_mean=63.2 | enemy_visible=no
step=912 Jev -> turn_left | red_mean=58.7 | enemy_visible=no
step=920 Jev -> turn_left | red_mean=41.4 | enemy_visible=no
step=928 Jev -> turn_left | red_mean=31.6 | enemy_visible=no
step=936 Jev -> turn_left | red_mean=32.6 | enemy_visible=no
step=944 Jev -> turn_left | red_mean=48.5 | enemy_visible=no
step=952 Jev -> turn_left | red_mean=49.1 | enemy_visible=no
step=960 Jev -> turn_left | red_mean=53.5 | enemy_visible=no
step=968 Jev -> turn_left | red_mean=54.4 | enemy_visible=no
step=976 Jev -> turn_left | red_mean=59.3 | enemy_visible=no
step=984 Jev -> turn_left | red_mean=47.0 | enemy_visible=no
step=992 Jev -> turn_left | red_mean=60.5 | enemy_visible=no
step=1000 Jev -> turn_left | red_mean=72.5 | enemy_visible=no
step=1008 Jev -> turn_left | red_mean=63.7 | enemy_visible=no
step=1016 Jev -> turn_left | red_mean=54.1 | enemy_visible=no
step=1024 Jev -> turn_left | red_mean=41.9 | enemy_visible=no
step=1032 Jev -> turn_left | red_mean=32.0 | enemy_visible=no
step=1040 Jev -> turn_left | red_mean=31.8 | enemy_visible=no
step=1048 Jev -> turn_left | red_mean=50.6 | enemy_visible=no
step=1056 Jev -> turn_left | red_mean=50.3 | enemy_visible=no
step=1064 Jev -> turn_left | red_mean=52.3 | enemy_visible=no
step=1072 Jev -> turn_left | red_mean=53.3 | enemy_visible=no
step=1080 Jev -> turn_left | red_mean=60.6 | enemy_visible=no
step=1088 Jev -> turn_left | red_mean=48.1 | enemy_visible=no
step=1096 Jev -> move_backward | red_mean=63.9 | enemy_visible=no
step=1104 Jev -> move_backward | red_mean=62.2 | enemy_visible=no
step=1112 Jev -> move_forward | red_mean=53.2 | enemy_visible=no
step=1120 Jev -> move_forward | red_mean=50.3 | enemy_visible=no
step=1128 Jev -> move_backward | red_mean=56.2 | enemy_visible=no
step=1136 Jev -> move_forward | red_mean=57.1 | enemy_visible=no
step=1144 Jev -> move_forward | red_mean=59.4 | enemy_visible=no
step=1152 Jev -> move_backward | red_mean=59.7 | enemy_visible=no
step=1160 Jev -> move_forward | red_mean=57.2 | enemy_visible=no
step=1168 Jev -> move_backward | red_mean=56.2 | enemy_visible=no
step=1176 Jev -> move_backward | red_mean=55.8 | enemy_visible=no
step=1184 Jev -> move_backward | red_mean=51.3 | enemy_visible=no
step=1192 Jev -> move_forward | red_mean=43.9 | enemy_visible=no
step=1200 Jev -> move_forward | red_mean=41.6 | enemy_visible=no
step=1208 Jev -> move_forward | red_mean=45.3 | enemy_visible=no
step=1216 Jev -> move_forward | red_mean=53.9 | enemy_visible=no
step=1224 Jev -> move_forward | red_mean=55.5 | enemy_visible=no
step=1232 Jev -> move_forward | red_mean=61.7 | enemy_visible=no
step=1240 Jev -> move_forward | red_mean=60.8 | enemy_visible=no
step=1248 Jev -> move_forward | red_mean=56.6 | enemy_visible=no
step=1256 Jev -> move_backward | red_mean=40.1 | enemy_visible=no
step=1264 Jev -> move_backward | red_mean=48.7 | enemy_visible=no
step=1272 Jev -> move_forward | red_mean=49.5 | enemy_visible=no
step=1280 Jev -> move_forward | red_mean=50.2 | enemy_visible=no
step=1288 Jev -> move_forward | red_mean=53.3 | enemy_visible=no
step=1296 Jev -> move_forward | red_mean=59.6 | enemy_visible=no
step=1304 Jev -> move_forward | red_mean=55.7 | enemy_visible=no
step=1312 Jev -> move_forward | red_mean=59.3 | enemy_visible=no
step=1320 Jev -> move_backward | red_mean=60.3 | enemy_visible=no
step=1328 Jev -> move_forward | red_mean=59.6 | enemy_visible=no
step=1336 Jev -> move_forward | red_mean=59.2 | enemy_visible=no
step=1344 Jev -> move_forward | red_mean=58.2 | enemy_visible=no
step=1352 Jev -> move_forward | red_mean=64.0 | enemy_visible=no
step=1360 Jev -> move_forward | red_mean=62.7 | enemy_visible=no
step=1368 Jev -> move_forward | red_mean=66.3 | enemy_visible=no
step=1376 Jev -> move_forward | red_mean=66.9 | enemy_visible=no
step=1384 Jev -> move_forward | red_mean=66.1 | enemy_visible=no
step=1392 Jev -> move_forward | red_mean=65.8 | enemy_visible=no
step=1400 Jev -> move_forward | red_mean=61.1 | enemy_visible=no
step=1408 Jev -> move_forward | red_mean=50.0 | enemy_visible=no
step=1416 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1424 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1432 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1440 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1448 Jev -> use | red_mean=50.8 | enemy_visible=no
step=1456 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1464 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1472 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1480 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1488 Jev -> move_forward | red_mean=50.8 | enemy_visible=no
step=1496 Jev -> move_forward | red_mean=45.2 | enemy_visible=no
step=1504 Jev -> move_forward | red_mean=27.5 | enemy_visible=no
step=1512 Jev -> move_forward | red_mean=21.3 | enemy_visible=no
step=1520 Jev -> move_forward | red_mean=22.3 | enemy_visible=no
step=1528 Jev -> turn_left | red_mean=38.8 | enemy_visible=no
step=1536 Jev -> turn_left | red_mean=22.3 | enemy_visible=no
step=1544 Jev -> turn_left | red_mean=21.3 | enemy_visible=no
step=1552 Jev -> turn_left | red_mean=27.5 | enemy_visible=no
step=1560 Jev -> turn_left | red_mean=45.2 | enemy_visible=no
step=1568 Jev -> turn_left | red_mean=54.2 | enemy_visible=no
step=1576 Jev -> turn_left | red_mean=66.6 | enemy_visible=no
step=1584 Jev -> turn_left | red_mean=62.7 | enemy_visible=no
step=1592 Jev -> turn_left | red_mean=54.5 | enemy_visible=no
step=1600 Jev -> turn_left | red_mean=43.2 | enemy_visible=no
step=1608 Jev -> turn_left | red_mean=45.0 | enemy_visible=no
step=1616 Jev -> turn_left | red_mean=40.8 | enemy_visible=no
step=1624 Jev -> turn_left | red_mean=37.9 | enemy_visible=no
step=1632 Jev -> turn_left | red_mean=35.8 | enemy_visible=no
step=1640 Jev -> turn_left | red_mean=21.1 | enemy_visible=no
step=1648 Jev -> turn_left | red_mean=21.3 | enemy_visible=no
step=1656 Jev -> turn_left | red_mean=31.0 | enemy_visible=no
step=1664 Jev -> turn_left | red_mean=46.9 | enemy_visible=no
step=1672 Jev -> turn_left | red_mean=58.3 | enemy_visible=no
step=1680 Jev -> turn_left | red_mean=68.8 | enemy_visible=no
step=1688 Jev -> turn_left | red_mean=59.8 | enemy_visible=no
step=1696 Jev -> turn_left | red_mean=53.5 | enemy_visible=no
step=1704 Jev -> move_forward | red_mean=43.4 | enemy_visible=no
step=1712 Jev -> move_forward | red_mean=42.1 | enemy_visible=no
step=1720 Jev -> move_forward | red_mean=44.3 | enemy_visible=no
step=1728 Jev -> move_forward | red_mean=41.7 | enemy_visible=no
step=1736 Jev -> move_forward | red_mean=47.4 | enemy_visible=no
step=1744 Jev -> move_forward | red_mean=39.9 | enemy_visible=no
step=1752 Jev -> move_forward | red_mean=31.6 | enemy_visible=no
step=1760 Jev -> move_forward | red_mean=41.2 | enemy_visible=no
step=1768 Jev -> move_forward | red_mean=50.4 | enemy_visible=no
step=1776 Jev -> move_forward | red_mean=36.9 | enemy_visible=no
step=1784 Jev -> move_forward | red_mean=33.5 | enemy_visible=no
step=1792 Jev -> move_forward | red_mean=78.3 | enemy_visible=no
step=1800 Jev -> move_forward | red_mean=63.0 | enemy_visible=no
step=1808 Jev -> move_forward | red_mean=70.6 | enemy_visible=no
step=1816 Jev -> move_forward | red_mean=71.9 | enemy_visible=no
step=1824 Jev -> move_forward | red_mean=74.2 | enemy_visible=no
step=1832 Jev -> move_forward | red_mean=40.4 | enemy_visible=no
step=1840 Jev -> use | red_mean=40.2 | enemy_visible=no
step=1848 Jev -> move_forward | red_mean=40.6 | enemy_visible=no
step=1856 Jev -> move_forward | red_mean=40.5 | enemy_visible=no
step=1864 Jev -> move_forward | red_mean=40.6 | enemy_visible=no
step=1872 Jev -> move_forward | red_mean=40.6 | enemy_visible=no
step=1880 Jev -> use | red_mean=40.6 | enemy_visible=no
step=1888 Jev -> move_forward | red_mean=40.6 | enemy_visible=no
step=1896 Jev -> move_forward | red_mean=40.2 | enemy_visible=no
step=1904 Jev -> move_forward | red_mean=40.6 | enemy_visible=no
step=1912 Jev -> move_forward | red_mean=40.5 | enemy_visible=no
step=1920 Jev -> turn_left | red_mean=40.6 | enemy_visible=no
step=1928 Jev -> turn_left | red_mean=48.2 | enemy_visible=no
step=1936 Jev -> turn_left | red_mean=63.3 | enemy_visible=no
step=1944 Jev -> turn_left | red_mean=67.7 | enemy_visible=no
step=1952 Jev -> turn_left | red_mean=68.6 | enemy_visible=no
step=1960 Jev -> turn_left | red_mean=59.3 | enemy_visible=no
step=1968 Jev -> turn_left | red_mean=48.5 | enemy_visible=no
step=1976 Jev -> turn_left | red_mean=43.3 | enemy_visible=no
step=1984 Jev -> turn_left | red_mean=40.3 | enemy_visible=no
step=1992 Jev -> turn_left | red_mean=40.2 | enemy_visible=no
step=2000 Jev -> turn_left | red_mean=44.0 | enemy_visible=no
step=2008 Jev -> turn_left | red_mean=40.8 | enemy_visible=no
step=2016 Jev -> turn_left | red_mean=44.2 | enemy_visible=no
step=2024 Jev -> turn_left | red_mean=40.3 | enemy_visible=no
step=2032 Jev -> turn_left | red_mean=52.3 | enemy_visible=no
step=2040 Jev -> turn_left | red_mean=63.3 | enemy_visible=no
step=2048 Jev -> turn_left | red_mean=69.4 | enemy_visible=no
step=2056 Jev -> turn_left | red_mean=66.1 | enemy_visible=no
step=2064 Jev -> turn_left | red_mean=57.0 | enemy_visible=no
step=2072 Jev -> turn_left | red_mean=48.2 | enemy_visible=no
step=2080 Jev -> turn_left | red_mean=40.3 | enemy_visible=no
step=2088 Jev -> turn_left | red_mean=40.0 | enemy_visible=no
step=2096 Jev -> turn_left | red_mean=42.7 | enemy_visible=no
step=0 Jev -> turn_left | red_mean=38.3 | enemy_visible=no
step=8 Jev -> turn_left | red_mean=39.4 | enemy_visible=no
step=16 Jev -> turn_left | red_mean=36.8 | enemy_visible=no
step=24 Jev -> turn_left | red_mean=34.0 | enemy_visible=no
step=32 Jev -> turn_left | red_mean=48.9 | enemy_visible=no
step=40 Jev -> move_forward | red_mean=77.7 | enemy_visible=no
step=48 Jev -> move_forward | red_mean=70.7 | enemy_visible=no
step=56 Jev -> move_forward | red_mean=61.4 | enemy_visible=no
step=64 Jev -> move_forward | red_mean=61.3 | enemy_visible=no
step=72 Jev -> move_forward | red_mean=38.3 | enemy_visible=no
step=80 Jev -> move_forward | red_mean=74.4 | enemy_visible=no
step=88 Jev -> move_forward | red_mean=68.1 | enemy_visible=no
step=96 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=104 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=112 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=120 Jev -> use | red_mean=63.7 | enemy_visible=no
step=128 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=136 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=144 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=152 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=160 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=168 Jev -> use | red_mean=63.9 | enemy_visible=no
step=176 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=184 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=192 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=200 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=208 Jev -> move_forward | red_mean=63.7 | enemy_visible=no
step=216 Jev -> move_forward | red_mean=46.2 | enemy_visible=no
step=224 Jev -> move_forward | red_mean=38.9 | enemy_visible=no
step=232 Jev -> move_forward | red_mean=47.2 | enemy_visible=no
step=240 Jev -> move_forward | red_mean=47.5 | enemy_visible=no
step=248 Jev -> move_forward | red_mean=52.4 | enemy_visible=no
step=256 Jev -> move_forward | red_mean=55.6 | enemy_visible=no
step=264 Jev -> move_forward | red_mean=54.6 | enemy_visible=no
step=272 Jev -> move_forward | red_mean=55.5 | enemy_visible=no
step=280 Jev -> turn_right | red_mean=55.8 | enemy_visible=no
step=288 Jev -> turn_right | red_mean=55.8 | enemy_visible=no
step=296 Jev -> turn_right | red_mean=52.4 | enemy_visible=no
step=304 Jev -> turn_right | red_mean=47.5 | enemy_visible=no
step=312 Jev -> turn_right | red_mean=43.2 | enemy_visible=no
step=320 Jev -> turn_right | red_mean=35.4 | enemy_visible=no
step=328 Jev -> turn_right | red_mean=50.5 | enemy_visible=no
step=336 Jev -> move_backward | red_mean=73.5 | enemy_visible=no
step=344 Jev -> move_backward | red_mean=73.0 | enemy_visible=no
step=352 Jev -> move_backward | red_mean=68.8 | enemy_visible=no
step=360 Jev -> move_backward | red_mean=65.3 | enemy_visible=no
step=368 Jev -> move_backward | red_mean=61.5 | enemy_visible=no
step=376 Jev -> move_backward | red_mean=57.6 | enemy_visible=no
step=384 Jev -> move_backward | red_mean=58.2 | enemy_visible=no
step=392 Jev -> move_backward | red_mean=57.7 | enemy_visible=no
step=400 Jev -> move_backward | red_mean=58.0 | enemy_visible=no
step=408 Jev -> move_backward | red_mean=58.1 | enemy_visible=no
step=416 Jev -> move_backward | red_mean=57.6 | enemy_visible=no
step=424 Jev -> move_backward | red_mean=57.7 | enemy_visible=no
step=432 Jev -> move_backward | red_mean=57.7 | enemy_visible=no
step=440 Jev -> move_backward | red_mean=58.0 | enemy_visible=no
step=448 Jev -> move_backward | red_mean=58.1 | enemy_visible=no
step=456 Jev -> move_backward | red_mean=57.6 | enemy_visible=no
step=464 Jev -> move_backward | red_mean=58.2 | enemy_visible=no
step=472 Jev -> move_backward | red_mean=57.7 | enemy_visible=no
step=480 Jev -> move_forward | red_mean=58.0 | enemy_visible=no
step=488 Jev -> move_forward | red_mean=58.2 | enemy_visible=no
step=496 Jev -> move_forward | red_mean=49.1 | enemy_visible=no
step=504 Jev -> move_forward | red_mean=39.1 | enemy_visible=no
step=512 Jev -> move_forward | red_mean=46.4 | enemy_visible=no
step=520 Jev -> move_forward | red_mean=59.1 | enemy_visible=no
step=528 Jev -> move_forward | red_mean=60.2 | enemy_visible=no
step=544 Jev -> move_forward | red_mean=57.5 | enemy_visible=no
step=552 Jev -> move_forward | red_mean=57.5 | enemy_visible=no
step=560 Jev -> move_forward | red_mean=57.5 | enemy_visible=no
step=568 Jev -> move_forward | red_mean=57.5 | enemy_visible=no
step=576 Jev -> use | red_mean=58.0 | enemy_visible=no
step=584 Jev -> move_forward | red_mean=57.6 | enemy_visible=no
step=592 Jev -> move_forward | red_mean=57.6 | enemy_visible=no
step=600 Jev -> move_forward | red_mean=57.6 | enemy_visible=no
step=608 Jev -> move_forward | red_mean=57.6 | enemy_visible=no
step=616 Jev -> move_forward | red_mean=57.6 | enemy_visible=no
step=624 Jev -> turn_left | red_mean=62.0 | enemy_visible=no
step=632 Jev -> turn_left | red_mean=56.7 | enemy_visible=no
step=640 Jev -> turn_left | red_mean=55.8 | enemy_visible=no
step=648 Jev -> turn_left | red_mean=53.2 | enemy_visible=no
step=656 Jev -> turn_left | red_mean=50.7 | enemy_visible=no
step=664 Jev -> turn_left | red_mean=47.2 | enemy_visible=no
step=672 Jev -> turn_left | red_mean=40.4 | enemy_visible=no
step=680 Jev -> turn_left | red_mean=47.7 | enemy_visible=no
step=688 Jev -> turn_left | red_mean=56.9 | enemy_visible=no
step=696 Jev -> turn_left | red_mean=58.5 | enemy_visible=no
step=704 Jev -> turn_left | red_mean=75.5 | enemy_visible=no
step=712 Jev -> turn_left | red_mean=65.3 | enemy_visible=no
step=720 Jev -> turn_left | red_mean=61.9 | enemy_visible=no
step=728 Jev -> turn_left | red_mean=59.1 | enemy_visible=no
step=736 Jev -> turn_left | red_mean=56.4 | enemy_visible=no
step=744 Jev -> turn_left | red_mean=55.1 | enemy_visible=no
step=752 Jev -> turn_left | red_mean=51.4 | enemy_visible=no
step=760 Jev -> turn_left | red_mean=50.0 | enemy_visible=no
step=768 Jev -> turn_left | red_mean=46.1 | enemy_visible=no
step=776 Jev -> turn_left | red_mean=39.0 | enemy_visible=no
step=784 Jev -> turn_left | red_mean=46.3 | enemy_visible=no
step=792 Jev -> turn_left | red_mean=57.1 | enemy_visible=no
